cifar10_dvs | binary | 42 | 1 | 0.3166 | 0.2720 | 0.2720
cifar10_dvs | binary | 42 | 2 | 0.3969 | 0.3980 | 0.3980
cifar10_dvs | binary | 42 | 3 | 0.4565 | 0.4440 | 0.4440
cifar10_dvs | binary | 42 | 4 | 0.4825 | 0.4290 | 0.4440
cifar10_dvs | binary | 42 | 5 | 0.5171 | 0.4810 | 0.4810
cifar10_dvs | binary | 42 | 6 | 0.5391 | 0.4610 | 0.4810
cifar10_dvs | binary | 42 | 7 | 0.5625 | 0.4820 | 0.4820
cifar10_dvs | binary | 42 | 8 | 0.5821 | 0.4170 | 0.4820
cifar10_dvs | binary | 42 | 9 | 0.5959 | 0.5380 | 0.5380
cifar10_dvs | binary | 42 | 10 | 0.6179 | 0.5440 | 0.5440
cifar10_dvs | binary | 42 | 11 | 0.6305 | 0.5280 | 0.5440
cifar10_dvs | binary | 42 | 12 | 0.6436 | 0.5640 | 0.5640
cifar10_dvs | binary | 42 | 13 | 0.6548 | 0.5530 | 0.5640
cifar10_dvs | binary | 42 | 14 | 0.6609 | 0.5220 | 0.5640
cifar10_dvs | binary | 42 | 15 | 0.6736 | 0.5790 | 0.5790
cifar10_dvs | binary | 42 | 16 | 0.6820 | 0.5660 | 0.5790
cifar10_dvs | binary | 42 | 17 | 0.6895 | 0.5470 | 0.5790
cifar10_dvs | binary | 42 | 18 | 0.7025 | 0.5380 | 0.5790
cifar10_dvs | binary | 42 | 19 | 0.7113 | 0.5870 | 0.5870
cifar10_dvs | binary | 42 | 20 | 0.7160 | 0.6070 | 0.6070
cifar10_dvs | binary | 42 | 21 | 0.7334 | 0.5940 | 0.6070
cifar10_dvs | binary | 42 | 22 | 0.7401 | 0.5970 | 0.6070
cifar10_dvs | binary | 42 | 23 | 0.7482 | 0.6320 | 0.6320
cifar10_dvs | binary | 42 | 24 | 0.7525 | 0.5800 | 0.6320
cifar10_dvs | binary | 42 | 25 | 0.7542 | 0.6030 | 0.6320
cifar10_dvs | binary | 42 | 26 | 0.7738 | 0.5990 | 0.6320
cifar10_dvs | binary | 42 | 27 | 0.7790 | 0.6280 | 0.6320
cifar10_dvs | binary | 42 | 28 | 0.7825 | 0.6090 | 0.6320
cifar10_dvs | binary | 42 | 29 | 0.7884 | 0.6470 | 0.6470
cifar10_dvs | binary | 42 | 30 | 0.8014 | 0.6340 | 0.6470
cifar10_dvs | binary | 42 | 31 | 0.8087 | 0.6370 | 0.6470
cifar10_dvs | binary | 42 | 32 | 0.8129 | 0.6590 | 0.6590
cifar10_dvs | binary | 42 | 33 | 0.8230 | 0.6530 | 0.6590
cifar10_dvs | binary | 42 | 34 | 0.8207 | 0.6580 | 0.6590
cifar10_dvs | binary | 42 | 35 | 0.8337 | 0.6470 | 0.6590
cifar10_dvs | binary | 42 | 36 | 0.8400 | 0.6530 | 0.6590
cifar10_dvs | binary | 42 | 37 | 0.8424 | 0.6610 | 0.6610
cifar10_dvs | binary | 42 | 38 | 0.8534 | 0.6580 | 0.6610
cifar10_dvs | binary | 42 | 39 | 0.8559 | 0.6480 | 0.6610
cifar10_dvs | binary | 42 | 40 | 0.8609 | 0.6640 | 0.6640
cifar10_dvs | binary | 42 | 41 | 0.8639 | 0.6610 | 0.6640
cifar10_dvs | binary | 42 | 42 | 0.8726 | 0.6570 | 0.6640
cifar10_dvs | binary | 42 | 43 | 0.8718 | 0.6670 | 0.6670
cifar10_dvs | binary | 42 | 44 | 0.8788 | 0.6730 | 0.6730
cifar10_dvs | binary | 42 | 45 | 0.8825 | 0.6750 | 0.6750
cifar10_dvs | binary | 42 | 46 | 0.8898 | 0.6720 | 0.6750
cifar10_dvs | binary | 42 | 47 | 0.8916 | 0.6800 | 0.6800
cifar10_dvs | binary | 42 | 48 | 0.8864 | 0.6750 | 0.6800
cifar10_dvs | binary | 42 | 49 | 0.8959 | 0.6880 | 0.6880
cifar10_dvs | binary | 42 | 50 | 0.8969 | 0.6770 | 0.6880
cifar10_dvs | binary | 42 | 51 | 0.9014 | 0.6780 | 0.6880
cifar10_dvs | binary | 42 | 52 | 0.9015 | 0.6780 | 0.6880
cifar10_dvs | binary | 42 | 53 | 0.9005 | 0.6890 | 0.6890
cifar10_dvs | binary | 42 | 54 | 0.9060 | 0.6890 | 0.6890
cifar10_dvs | binary | 42 | 55 | 0.9038 | 0.6840 | 0.6890
cifar10_dvs | binary | 42 | 56 | 0.9093 | 0.6870 | 0.6890
cifar10_dvs | binary | 42 | 57 | 0.9073 | 0.6820 | 0.6890
cifar10_dvs | binary | 42 | 58 | 0.9096 | 0.6800 | 0.6890
cifar10_dvs | binary | 42 | 59 | 0.9105 | 0.6860 | 0.6890
cifar10_dvs | binary | 42 | 60 | 0.9050 | 0.6830 | 0.6890
