cifar10_dvs | binary | 42 | 81 | 0.9816 | 0.6820 | 0.6900
cifar10_dvs | binary | 42 | 82 | 0.9835 | 0.6830 | 0.6900
cifar10_dvs | binary | 42 | 83 | 0.9879 | 0.6870 | 0.6900
cifar10_dvs | binary | 42 | 84 | 0.9882 | 0.6870 | 0.6900
cifar10_dvs | binary | 42 | 85 | 0.9881 | 0.6930 | 0.6930
cifar10_dvs | binary | 42 | 86 | 0.9874 | 0.6910 | 0.6930
cifar10_dvs | binary | 42 | 87 | 0.9900 | 0.7000 | 0.7000
cifar10_dvs | binary | 42 | 88 | 0.9906 | 0.6870 | 0.7000
cifar10_dvs | binary | 42 | 89 | 0.9898 | 0.6920 | 0.7000
cifar10_dvs | binary | 42 | 90 | 0.9890 | 0.6920 | 0.7000
cifar10_dvs | binary | 42 | 91 | 0.9912 | 0.6890 | 0.7000
cifar10_dvs | binary | 42 | 92 | 0.9905 | 0.6900 | 0.7000
cifar10_dvs | binary | 42 | 93 | 0.9911 | 0.6930 | 0.7000
cifar10_dvs | binary | 42 | 94 | 0.9915 | 0.6920 | 0.7000
cifar10_dvs | binary | 42 | 95 | 0.9909 | 0.7000 | 0.7000
cifar10_dvs | binary | 42 | 96 | 0.9915 | 0.6940 | 0.7000
cifar10_dvs | binary | 42 | 97 | 0.9924 | 0.6940 | 0.7000
cifar10_dvs | binary | 42 | 98 | 0.9928 | 0.6940 | 0.7000
cifar10_dvs | binary | 42 | 99 | 0.9948 | 0.6970 | 0.7000
cifar10_dvs | binary | 42 | 100 | 0.9941 | 0.7040 | 0.7040
cifar10_dvs | binary | 42 | 101 | 0.9938 | 0.6980 | 0.7040
cifar10_dvs | binary | 42 | 102 | 0.9941 | 0.7000 | 0.7040
cifar10_dvs | binary | 42 | 103 | 0.9942 | 0.6970 | 0.7040
cifar10_dvs | binary | 42 | 104 | 0.9936 | 0.6950 | 0.7040
cifar10_dvs | binary | 42 | 105 | 0.9964 | 0.6950 | 0.7040
cifar10_dvs | binary | 42 | 106 | 0.9952 | 0.6980 | 0.7040
cifar10_dvs | binary | 42 | 107 | 0.9952 | 0.6980 | 0.7040
cifar10_dvs | binary | 42 | 108 | 0.9959 | 0.7050 | 0.7050
cifar10_dvs | binary | 42 | 109 | 0.9954 | 0.6940 | 0.7050
cifar10_dvs | binary | 42 | 110 | 0.9950 | 0.7020 | 0.7050
cifar10_dvs | binary | 42 | 111 | 0.9945 | 0.7020 | 0.7050
cifar10_dvs | binary | 42 | 112 | 0.9956 | 0.6980 | 0.7050
cifar10_dvs | binary | 42 | 113 | 0.9941 | 0.6930 | 0.7050
cifar10_dvs | binary | 42 | 114 | 0.9946 | 0.7040 | 0.7050
cifar10_dvs | binary | 42 | 115 | 0.9955 | 0.6970 | 0.7050
cifar10_dvs | binary | 42 | 116 | 0.9958 | 0.6970 | 0.7050
cifar10_dvs | binary | 42 | 117 | 0.9954 | 0.7010 | 0.7050
cifar10_dvs | binary | 42 | 118 | 0.9964 | 0.6950 | 0.7050
cifar10_dvs | binary | 42 | 119 | 0.9970 | 0.7030 | 0.7050
cifar10_dvs | binary | 42 | 120 | 0.9956 | 0.6950 | 0.7050
cifar10_dvs | binary | 42 | 0.6940 | 108
