dvs_gesture | binary | 42 | 83 | 1.0000 | 0.8935 | 0.9028
dvs_gesture | binary | 42 | 84 | 1.0000 | 0.8704 | 0.9028
dvs_gesture | binary | 42 | 85 | 1.0000 | 0.8981 | 0.9028
dvs_gesture | binary | 42 | 86 | 1.0000 | 0.8935 | 0.9028
dvs_gesture | binary | 42 | 87 | 1.0000 | 0.8981 | 0.9028
dvs_gesture | binary | 42 | 88 | 1.0000 | 0.9028 | 0.9028
dvs_gesture | binary | 42 | 89 | 1.0000 | 0.9028 | 0.9028
dvs_gesture | binary | 42 | 90 | 1.0000 | 0.9028 | 0.9028
dvs_gesture | binary | 42 | 91 | 1.0000 | 0.8981 | 0.9028
dvs_gesture | binary | 42 | 92 | 1.0000 | 0.9028 | 0.9028
dvs_gesture | binary | 42 | 93 | 1.0000 | 0.9074 | 0.9074
dvs_gesture | binary | 42 | 94 | 1.0000 | 0.9074 | 0.9074
dvs_gesture | binary | 42 | 95 | 1.0000 | 0.9028 | 0.9074
dvs_gesture | binary | 42 | 96 | 1.0000 | 0.8935 | 0.9074
dvs_gesture | binary | 42 | 97 | 1.0000 | 0.9028 | 0.9074
dvs_gesture | binary | 42 | 98 | 1.0000 | 0.9028 | 0.9074
dvs_gesture | binary | 42 | 99 | 1.0000 | 0.9028 | 0.9074
dvs_gesture | binary | 42 | 100 | 1.0000 | 0.8935 | 0.9074
dvs_gesture | binary | 42 | 101 | 1.0000 | 0.9074 | 0.9074
dvs_gesture | binary | 42 | 102 | 1.0000 | 0.9074 | 0.9074
dvs_gesture | binary | 42 | 103 | 1.0000 | 0.9074 | 0.9074
dvs_gesture | binary | 42 | 104 | 1.0000 | 0.8981 | 0.9074
dvs_gesture | binary | 42 | 105 | 1.0000 | 0.9074 | 0.9074
dvs_gesture | binary | 42 | 106 | 1.0000 | 0.9074 | 0.9074
dvs_gesture | binary | 42 | 107 | 1.0000 | 0.9074 | 0.9074
dvs_gesture | binary | 42 | 108 | 1.0000 | 0.9120 | 0.9120
dvs_gesture | binary | 42 | 109 | 1.0000 | 0.9120 | 0.9120
dvs_gesture | binary | 42 | 110 | 1.0000 | 0.8981 | 0.9120
dvs_gesture | binary | 42 | 111 | 1.0000 | 0.9074 | 0.9120
dvs_gesture | binary | 42 | 112 | 1.0000 | 0.9074 | 0.9120
dvs_gesture | binary | 42 | 113 | 1.0000 | 0.9074 | 0.9120
dvs_gesture | binary | 42 | 114 | 1.0000 | 0.9074 | 0.9120
dvs_gesture | binary | 42 | 115 | 1.0000 | 0.9028 | 0.9120
dvs_gesture | binary | 42 | 116 | 1.0000 | 0.9074 | 0.9120
dvs_gesture | binary | 42 | 117 | 1.0000 | 0.9028 | 0.9120
dvs_gesture | binary | 42 | 118 | 1.0000 | 0.9074 | 0.9120
dvs_gesture | binary | 42 | 119 | 1.0000 | 0.9074 | 0.9120
dvs_gesture | binary | 42 | 120 | 1.0000 | 0.9074 | 0.9120
dvs_gesture | binary | 42 | 0.8750 | 108
